code,name,suggested_price_from_lab,price
R ALAMO,IGE ESPECIFICA ALAMO,1133,$1.473
R A LACT,IGE ESPECIFICA ALFA-LACTOALBUMINA,1133,$1.473
R ALMEN,IGE ESPECIFICA ALMENDRAS,1133,$1.473
R ALTER,IGE ESPECIFICA ALTERNARIA,1133,$1.473
R AMARA,IGE ESPECIFICA AMARANTUS,1133,$1.473
R AMBRO,IGE ESPECIFICA AMBROSIA,1133,$1.473
R AMOXI,IGE ESPECIFICA AMOXICILINA,1133,$1.473
R ARBOL,IGE ESPECIFICA ARBOL,1133,$1.473
R ARBUST,IGE ESPECIFICA ARBUSTO,1133,$1.473
R ARCE,IGE ESPECIFICA ARCE,1133,$1.473
R ASP-NI,IGE ESPECIFICA ARPERGILLUS NIGER,1133,$1.473
R ARTEMI,IGE ESPECIFICA ARTEMISA,1133,$1.473
R ASPER,IGE ESPECIFICA ASPERGILLUS,1133,$1.473
R ASP-FL,IGE ESPECIFICA ASPERGILLUS FLAVUS,1133,$1.473
R ASP-FU,IGE ESPECIFICA ASPERGILLUS FUMIGATUS,1133,$1.473
,IGE ESPECIFICA ANANA,1133,$1.473
R AVENA,IGE ESPECIFICA AVENA,1133,$1.473
R BANANA,IGE ESPECIFICA BANANAS,1133,$1.473
R B LACT,IGE ESPECIFICA BETA-LACTOGLOBULINA,1133,$1.473
R CACAO,IGE ESPECIFICA CACAO,1133,$1.473
R CAMAR,IGE ESPECIFICA CAMARON,1133,$1.473
R CANDI,IGE ESPECIFICA CANDIDA ALBICANS,1133,$1.473
R CASEIN,IGE ESPECIFICA CASEINA,1133,$1.473
R H-CLAR,IGE ESPECIFICA CLARA DE HUEVO,1133,$1.473
R CAB-E,IGE ESPECIFICA EPITELIO DE CABALLO,1133,$1.473
,IGE ESPECIFICA FRUTILLAS,1133,$1.473
R LACTOA,IGE ESPECIFICA LACTOALBUMINA,1133,$1.473
R LECHE,IGE ESPECIFICA LECHE,1133,$1.473
,IGE ESPECIFICA NUEZ,1133,$1.473
R OVO,IGE ESPECIFICA OVOALBUMINA,1133,$1.473
R SOJA,IGE ESPECIFICA SOJA,1133,$1.473
,IGE ESPECIFICA TOMATE,1133,$1.473
,IGE ESPECIFICOS OTROS ,1133,$1.473
,IGF-I   -  SOMATOMEDINA C,1898,$2.468
IGG,IGG cadena GAMMA,287,$373
IGM,IGM cadena MU,287,$373
INSUL,INSULINA SERICA TOTAL,387,$503
ION,IONOGRAMA PLASMATICO,205,$266
IOU,IONOGRAMA URINARIO,245,$318
R PEN G,IgE ESPECIFICA - PENICILINA G,1133,$1.473
COVEG,IgG ANTI ESPIGA CUANTITATIVO (ABBOTT) SARS CoV-2 C,3094,$4.022
LDH,LACTICO DEHIDROGENASA LDH,389,$506
LAM,LAMOTRIGINA,3940,$5.122
,LATEX ARTRITIS REUMATOIDEA CUANTITATIVO,274,$356
LMF,LEUCOCITOS EN MATERIA FECAL,587,$763
LH,LH HORMONA LUTEOTROFICA,423,$549
LIP,LIPEMIA O LIPIDOS TOTALES EN SAN,282,$367
LIG,LIPIDOGRAMA ELECTROFORETICO,367,$477
LPA,LIPOPROTEINA A,1386,$1.802
LIT,LITIO PLASMATICO,640,$833
ILU,LUPICO ANTICOAGULANTE O INHIBIDOR,3932,$5.111
MGU,MAGNESIO en orina,258,$335
MGS,MAGNESIO en sangre,258,$335
AMANDE,MANDELICO ACIDO,2772,$3.603
PPD,MANTOUX INTRADERMORREACCION,845,$1.099
MET,METANEFRINA en orina,5165,$6.714
AC METIL,METIL HIPURICO ACIDO  en ORINA,4834,$6.285
MIC1,MICOLOGICO,625,$812
ALB-U2,MICROALBUMINURIA (Orina 2 hs),504,$656
ALB-U,MICROALBUMINURIA - ALBUMINA EN ORINA,807,$1.049
ALB-UE,MICROALBUMINURIA EN ORINA ESPONTANEA,503,$654
AMAM2,MITOCONDRIAL TIPO 2,1979,$2.573
MONO,MONO TEST,258,$335
MYC,MYCOPLASMA CULTIVO,3413,$4.438
ORI,ORINA COMPLETA,222,$289
PMF,PARAS. MAT FECAL,416,$541
PTH,PARATHORMONA,458,$596
PARO G,PAROTIDITIS ANTIC.ANTI IgG,5471,$7.112
PARO M,PAROTIDITIS ANTIC.ANTI IgM,4581,$5.956
BNP,PRO BNP,8299,$10.788
PRO CAL,PROCALCITONINA,4923,$6.400
PG,PROGESTERONA PLASMATICA,416,$541
PL,PROLACTINA,251,$327
PROT C,PROTEINA C FUNCIONAL,4343,$5.646
PCR,PROTEINA C REACTIVA,790,$1.026
PROS L,PROTEINA S LIBRE,4734,$6.155
PRO,PROTEINAS TOTALES,790,$1.026
PRU,PROTEINAS URINARIAS 12/24 hs,406,$528
PTG,PROTEINOGRAMA,790,$1.026
20210,PROTOMBINA 20210,3761,$4.889
PRR,PRUEBA DE ROSSE RAGAN,4452,$5.788
RPCA,RESIST. A LA PROTEINA C ACTIVA,4452,$5.788
RET,RETICULOCITOS,200,$260
RUG,RUBEOLA ANTIC.ANTI IgG ELISA,529,$688
RUM,RUBEOLA ANTIC.ANTI IgM ELISA,596,$775
SOM,SANGRE OCULTA - MATERIA FECAL,489,$636
SAT,SATURACION DE TRANSFERRINA,472,$614
SEL,SELENIO,6378,$8.291
SER,SEROTONINA,5741,$7.464
SER-O,SEROTONINA EN ORINA DE 24HS,7268,$9.448
HGH,SOMATOTROFINA,643,$835
BHCG,SUB UNIDAD BETA DE GONAD.CORION.,1001,$1.301
SBS,SUB UNIDAD BETA LIBRE DE HCG,489,$636
DHEAS,SULFATO DEHIDROEPIANDROSTERONA,564,$733
T3,T3 - TRIIODOTIRONINA,534,$694
T3L,T3 LIBRE,807,$1.049
T4,T4 - TIROXINA TOTAL,262,$341
T4L,T4 LIBRE,534,$694
ACC,TENIA  (taenia) SOLIUM ANTIC ANTI (CYSTECERCUS),5919,$7.694
GHM,TEST DE GRAHAM,367,$477
TEB,TESTOSTERONA BIODISPONIBLE,1119,$1.454
TEL,TESTOSTERONA LIBRE en suero,698,$908
TES,TESTOSTERONA PLASMATICA,478,$622
TG,TIROGLOBULINA,1147,$1.492
TXG,TOXOPLASMOSIS ANTIC. IgG,507,$659
TX-AVI,TOXOPLASMOSIS ANTIC.ANTI IgG AVIDEZ,2602,$3.383
TXM,TOXOPLASMOSIS IgM-IFI REMINGTON T.DE,1027,$1.336
TGO,TRANSAMINASA GLUTAMICO OXALACETICA,185,$240
TGP,TRANSAMINASA GLUTAMINASA PIRIVICA,185,$240
TRA,TRANSFERRINA,380,$494
BCL2/IGH,TRANSLOCACION BCL-2/IgH,65283,$84.869
BCR/ABL,TRANSLOCACION BCR/ABL,14503,$18.854
ATA,TRICLOROACETICO ACIDO,2374,$3.086
TGL,TRIGLICERIDOS,276,$358
KPT,"TROMBOPLASTINA,TIEMPO DE",258,$335
TROPO,TROPONINA T (Tn-T),2312,$3.006
TSH,TSH - TIROTROFINA PLASMATICA,507,$659
CDU,"UREA, CLEARENCE DE",280,$365
UUREAL,UREAPLASMA UREALITICUM CULT.,2624,$3.411
URE,UREMIA,140,$182
AUR,URICO ACIDO,200,$260
AUUE,URICO ACIDO  EN ORINA OCASIONAL,200,$260
AUU2,URICO ACIDO  en orina de 2 hs.,200,$260
AUU,URICO ACIDO orina,200,$260
UROC,UROCULTIVO,660,$858
VDR,V.D.R.L. CUALITATIVA,258,$335
VDC,V.D.R.L. CUANTITATIVA,314,$408
FVTIP+,VAGINAL FLUJO C/TIP + Y ANTIBIOG.,734,$954
AVM,VAINILLIN MANDELICO ACIDO,5020,$6.525
VAL,VALPROICO ACIDO,787,$1.023
VARI G,VARICELA ANTIC.ANTI IgG IFI,3009,$3.911
VARI M,VARICELA ANTIC.ANTI IgM IFI,2414,$3.138
BK DNA,VIRUS BK DNA (PCR),14986,$19.482
VB1,VITAMINA B1 - TIAMINA,2098,$2.727
B12,VITAMINA B12,649,$844
VB6,VITAMINA B6 - PIRIDOXINA,6712,$8.725
VIC,VITAMINA C - ACIDO ASCORBICO,6201,$8.061
V25,"VITAMINA D3, 25 HIDROXI",2293,$2.981
ZIN,ZINC SERICO,3495,$4.544
