code,name,suggested_price_from_lab,price
AVM,VAINILLIN MANDELICO ACIDO,10958,$14.245
VAL,VALPROICO ACIDO,1775,$2.308
VARI G,VARICELA ANTIC.ANTI IgG IFI,6398,$8.317
VARI M,VARICELA ANTIC.ANTI IgM IFI,5263,$6.841
VB1,VITAMINA B1 - TIAMINA,15170,$19.721
B12,VITAMINA B12,1090,$1.417
VB6,VITAMINA B6 - PIRIDOXINA,15170,$19.721
VIC,VITAMINA C - ACIDO ASCORBICO,15170,$19.721
V25,"VITAMINA D3, 25 HIDROXI",4138,$5.379
ZIN,ZINC SERICO,5938,$7.719
