code,name,suggested_price_from_lab,price
CATP,CATECOLAMINAS PLASMATICAS,23197,$34.795
CD3,CD 3 SUBPOBLACION LINFOCITARIA POR CF,13754,$20.630
CD57,CD 4 SUBPOBLAC. LINFOCITARIA Citometria de fluj,13750,$20.625
CD4,CD 4 SUBPOBLACION LINFOCITARIA POR CF,13750,$20.625
CEA,CEA ANTIG CARCINOEMBRIONARIO,2071,$3.107
CHAT,CHAGAS ANTIC. TOTALES,1688,$2.533
CHI,CHAGAS IFI IgG,2197,$3.296
CHM,CHAGAS IFI IgM,3258,$4.886
CHH,CHAGAS POR HEMAGLUTINACION IND HAI,5223,$7.835
CLNE G,CHLAMYDIA PNEUMONIAE  IgG,7021,$10.531
CLNE M,CHLAMYDIA PNEUMONIAE  IgM,7021,$10.531
CLTR A,CHLAMYDIA TRACHOMATIS  IgA,CONSULTAR,#VALUE!
CLTR G,CHLAMYDIA TRACHOMATIS  IgG,7021,$10.531
CLTR M,CHLAMYDIA TRACHOMATIS  IgM,7021,$10.531
CLTR Ag,CHLAMYDIA TRACHOMATIS Antigeno,51574,$77.362
CIS,CISTINURIA,7270,$10.905
CMV G,CITOMEGALOVIRUS ANTIC. IgG,1976,$2.965
CMV M,CITOMEGALOVIRUS ANTIC. IgM,3388,$5.081
CIT,CITRICO ACIDO Orina,8688,$13.032
CITRICO,CITRICO ACIDO Suero,2833,$4.249
ACS,CITRICO ACIDO en plasma seminal,11479,$17.218
CBN,CLOBAZAN,18700,$28.050
CNZ,CLONAZEPAN,14719,$22.079
CLOS,CLOSTRIDIUM DIFFICILE TOXINA A+B INVEST.DE,50549,$75.824
CLOZAP,CLOZAPINA DETERMINACION DE,17938,$26.907
COA,COAGULOGRAMA BASICO,1499,$2.248
CU,COBRE EN SANGRE,24380,$36.569
CU-U,COBRE en orina,24380,$36.569
COCAINA,COCAINA en orina,5834,$8.751
COFACTOR,COFACTOR DE RISTOCETINA,23028,$34.542
HDL,COLESTEROL HDL,607,$910
LDL,COLESTEROL LDL,357,$535
COL,COLESTEROL TOTAL,706,$1.059
VLD,COLESTEROL VLDL,463,$695
COLPSE,COLINESTERASA / PSEUDOCOLINESTERASA,531,$796
C50,COMPLEMENTO Actividad total (CH50),60505,$90.757
C1Q,COMPLEMENTO C1Q,26121,$39.181
C3,COMPLEMENTO INMUNOQ. C3,993,$1.490
C4,COMPLEMENTO INMUNOQ. C4,993,$1.490
CBI,COOMBS INDIRECTA,21780,$32.670
CBD,COOMBS DIRECTA PRUEBA,14652,$21.978
CMF,COPROCULTIVO,5778,$8.667
CPO,COPROPORFIRINAS en orina,9327,$13.991
COR,CORTISOL PLASMATICO,1467,$2.201
COR-S,CORTISOL SALIVAL,2559,$3.839
COR-U,CORTISOL URINARIO,1467,$2.201
COR-V,CORTISOL VESPERTINO,1467,$2.201
CPK,CREATINQUINASA CPK,1052,$1.578
CKM,CPK-MB,2836,$4.255
CDC,CREATININA CLEARENCE O DEPURAC.,1455,$2.182
AS-CR-U,CREATININA en orina,727,$1.091
CRE,CREATININA en sangre,727,$1.091
CRG,CRIOGLOBULINAS,2271,$3.407
CALCSAL,Calculo Salival,14779,$22.168
COV,Coronavirus SARS CoV2 (ARN),49595,$74.392
CRUE,Creatinina en orina espontanea,727,$1.091
DHEAS,DEHIDROEPIANDROSTERONA,17194,$25.791
DENGUE,DENGUE NS1 + Anticuerpos IgM+IgG,43529,$65.293
DMD,"DIMERO ""D""",14758,$22.136
DOP,DOPAMINA PLASMATICA,13971,$20.957
DOO,DOPAMINA TOTAL O LIBRE orina,13803,$20.704
ANG,ENZIMA CONVERTIDORA DE ANGIOTENSINA (ECA),19195,$28.792
EB VCA G,EPSTEIN BARR Ac. VCA IgG CAPSIDE,2903,$4.355
EB VCA M,EPSTEIN BARR Ac. VCA IgM CAPSIDE,3261,$4.892
EBNA G,EPSTEIN BARR EARLY ANTIGEN Ac.IgG,13782,$20.673
EPY,ERITROPOYETINA,5518,$8.277
ERI,ERITROSEDIMENTACION,292,$438
ESPC,ESPERMOCULTIVO,10110,$15.165
ESP,ESPERMOGRAMA,3533,$5.299
E2,ESTRADIOL PLASMASTICO,1209,$1.813
