code,name,suggested_price_from_lab,price
HEP,HEPATOGRAMA,338,$440
HV1 GE,HERPES I ANTIC ANTI IGG ELISA,1265,"$1,645"
HV1 ME,HERPES I ANTIC. ANTI IgM ELISA,1541,"$2,004"
HV1 G,HERPES I ANTIC.ANTI IgG IFI,735,$955
HV2 GE,HERPES II ANTIC. ANTI IgG ELISA,1265,"$1,645"
HV2 ME,HERPES II ANTIC. ANTI IgM ELISA,1541,"$2,004"
HV2 G,HERPES II ANTIC.ANTI IgG IFI,1265,"$1,645"
AC HIP,HIPURICO ACIDO,2543,"$3,306"
HIV CV,HIV CARGA VIRAL,13188,"$17,144"
HIV,HIV COMBO - Anticuerpos anti HIV + Antigeno P24,638,$830
HMC,HOMOCISTEINA en orina,1485,"$1,931"
HMS,HOMOCISTEINA en sangre,1547,"$2,011"
AHO,HOMOVANILICO ACIDO,3671,"$4,773"
AMH,HORMONA ANTI MULLERIANA,5500,"$7,150"
ADH,HORMONA ANTIDIURETICA,23321,"$30,317"
HUD,HUDDLESSON REACCION DE,399,$519
IGA,IGA cadena Alfa,242,$314
IGA NASA,IGA en secrecion nasal,335,$435
IAS,IGA secretoria,509,$661
IGE,IGE,497,$646
R CAR V,IGE ESPEC CARNE VACUNA,514,$669
R ABEJA,IGE ESPECIFICA ABEJA,985,"$1,281"
R ACARO,IGE ESPECIFICA ACAROS,985,"$1,281"
R A-SIRO,IGE ESPECIFICA ACARUS SIRO,985,"$1,281"
R AJI,IGE ESPECIFICA AJI COLORADO,985,"$1,281"
R ALAMO,IGE ESPECIFICA ALAMO,985,"$1,281"
R A LACT,IGE ESPECIFICA ALFA-LACTOALBUMINA,985,"$1,281"
R ALMEN,IGE ESPECIFICA ALMENDRAS,985,"$1,281"
R ALTER,IGE ESPECIFICA ALTERNARIA,985,"$1,281"
R AMARA,IGE ESPECIFICA AMARANTUS,985,"$1,281"
R AMBRO,IGE ESPECIFICA AMBROSIA,985,"$1,281"
R AMOXI,IGE ESPECIFICA AMOXICILINA,985,"$1,281"
R ARBOL,IGE ESPECIFICA ARBOL,985,"$1,281"
R ARBUST,IGE ESPECIFICA ARBUSTO,985,"$1,281"
R ARCE,IGE ESPECIFICA ARCE,985,"$1,281"
R ASP-NI,IGE ESPECIFICA ARPERGILLUS NIGER,985,"$1,281"
R ARTEMI,IGE ESPECIFICA ARTEMISA,985,"$1,281"
R ASPER,IGE ESPECIFICA ASPERGILLUS,985,"$1,281"
R ASP-FL,IGE ESPECIFICA ASPERGILLUS FLAVUS,985,"$1,281"
R ASP-FU,IGE ESPECIFICA ASPERGILLUS FUMIGATUS,985,"$1,281"
,IGE ESPECIFICA ANANA,985,"$1,281"
R AVENA,IGE ESPECIFICA AVENA,985,"$1,281"
R BANANA,IGE ESPECIFICA BANANAS,985,"$1,281"
R B LACT,IGE ESPECIFICA BETA-LACTOGLOBULINA,985,"$1,281"
R CACAO,IGE ESPECIFICA CACAO,985,"$1,281"
R CAMAR,IGE ESPECIFICA CAMARON,985,"$1,281"
R CANDI,IGE ESPECIFICA CANDIDA ALBICANS,985,"$1,281"
R CASEIN,IGE ESPECIFICA CASEINA,985,"$1,281"
R H-CLAR,IGE ESPECIFICA CLARA DE HUEVO,985,"$1,281"
R CAB-E,IGE ESPECIFICA EPITELIO DE CABALLO,985,"$1,281"
,IGE ESPECIFICA FRUTILLAS,985,"$1,281"
R LACTOA,IGE ESPECIFICA LACTOALBUMINA,985,"$1,281"
R LECHE,IGE ESPECIFICA LECHE,985,"$1,281"
,IGE ESPECIFICA NUEZ,985,"$1,281"
R OVO,IGE ESPECIFICA OVOALBUMINA,985,"$1,281"
R SOJA,IGE ESPECIFICA SOJA,985,"$1,281"
,IGE ESPECIFICA TOMATE,985,"$1,281"
,IGE ESPECIFICOS OTROS ,985,"$1,281"
,IGF-I   -  SOMATOMEDINA C,1651,"$2,146"
IGG,IGG cadena GAMMA,249,$324
IGM,IGM cadena MU,249,$324
INSUL,INSULINA SERICA TOTAL,336,$437
ION,IONOGRAMA PLASMATICO,178,$231
IOU,IONOGRAMA URINARIO,213,$277
R PEN G,IgE ESPECIFICA - PENICILINA G,985,"$1,281"
COVEG,IgG ANTI ESPIGA CUANTITATIVO (ABBOTT) SARS CoV-2 C,2690,"$3,497"
LDH,LACTICO DEHIDROGENASA LDH,338,$440
LAM,LAMOTRIGINA,3426,"$4,454"
,LATEX ARTRITIS REUMATOIDEA CUANTITATIVO,238,$309
LMF,LEUCOCITOS EN MATERIA FECAL,510,$664
LH,LH HORMONA LUTEOTROFICA,367,$478
LIP,LIPEMIA O LIPIDOS TOTALES EN SAN,246,$319
LIG,LIPIDOGRAMA ELECTROFORETICO,319,$415
LPA,LIPOPROTEINA A,1205,"$1,567"
LIT,LITIO PLASMATICO,557,$724
ILU,LUPICO ANTICOAGULANTE O INHIBIDOR,3419,"$4,445"
MGU,MAGNESIO en orina,224,$292
MGS,MAGNESIO en sangre,224,$292
AMANDE,MANDELICO ACIDO,2410,"$3,133"
PPD,MANTOUX INTRADERMORREACCION,735,$955
MET,METANEFRINA en orina,4491,"$5,838"
AC METIL,METIL HIPURICO ACIDO  en ORINA,4204,"$5,465"
MIC1,MICOLOGICO,543,$706
ALB-U2,MICROALBUMINURIA (Orina 2 hs),439,$570
ALB-U,MICROALBUMINURIA - ALBUMINA EN ORINA,702,$913
ALB-UE,MICROALBUMINURIA EN ORINA ESPONTANEA,437,$568
AMAM2,MITOCONDRIAL TIPO 2,1721,"$2,237"
MONO,MONO TEST,224,$292
MYC,MYCOPLASMA CULTIVO,2968,"$3,859"
ORI,ORINA COMPLETA,193,$251
PMF,PARAS. MAT FECAL,362,$470
PTH,PARATHORMONA,398,$518
PARO G,PAROTIDITIS ANTIC.ANTI IgG,4757,"$6,184"
PARO M,PAROTIDITIS ANTIC.ANTI IgM,3984,"$5,179"
BNP,PRO BNP,7216,"$9,381"
PRO CAL,PROCALCITONINA,4281,"$5,565"
PG,PROGESTERONA PLASMATICA,362,$470
PL,PROLACTINA,219,$284
PROT C,PROTEINA C FUNCIONAL,3776,"$4,909"
PCR,PROTEINA C REACTIVA,687,$893
PROS L,PROTEINA S LIBRE,4117,"$5,352"
PRO,PROTEINAS TOTALES,687,$893
PRU,PROTEINAS URINARIAS 12/24 hs,353,$459
PTG,PROTEINOGRAMA,687,$893
20210,PROTOMBINA 20210,3270,"$4,252"
PRR,PRUEBA DE ROSSE RAGAN,3872,"$5,033"
RPCA,RESIST. A LA PROTEINA C ACTIVA,3872,"$5,033"
RET,RETICULOCITOS,174,$226
RUG,RUBEOLA ANTIC.ANTI IgG ELISA,460,$598
RUM,RUBEOLA ANTIC.ANTI IgM ELISA,518,$674
SOM,SANGRE OCULTA - MATERIA FECAL,425,$553
SAT,SATURACION DE TRANSFERRINA,411,$534
SEL,SELENIO,5546,"$7,210"
SER,SEROTONINA,4993,"$6,490"
SER-O,SEROTONINA EN ORINA DE 24HS,6320,"$8,215"
HGH,SOMATOTROFINA,559,$726
BHCG,SUB UNIDAD BETA DE GONAD.CORION.,870,"$1,131"
SBS,SUB UNIDAD BETA LIBRE DE HCG,425,$553
DHEAS,SULFATO DEHIDROEPIANDROSTERONA,490,$638
T3,T3 - TRIIODOTIRONINA,464,$603
T3L,T3 LIBRE,702,$913
T4,T4 - TIROXINA TOTAL,228,$297
T4L,T4 LIBRE,464,$603
ACC,TENIA  (taenia) SOLIUM ANTIC ANTI (CYSTECERCUS),5147,"$6,691"
GHM,TEST DE GRAHAM,319,$415
TEB,TESTOSTERONA BIODISPONIBLE,973,"$1,264"
TEL,TESTOSTERONA LIBRE en suero,607,$789
TES,TESTOSTERONA PLASMATICA,416,$540
TG,TIROGLOBULINA,998,"$1,297"
TXG,TOXOPLASMOSIS ANTIC. IgG,441,$573
TX-AVI,TOXOPLASMOSIS ANTIC.ANTI IgG AVIDEZ,2263,"$2,942"
TXM,TOXOPLASMOSIS IgM-IFI REMINGTON T.DE,893,"$1,161"
TGO,TRANSAMINASA GLUTAMICO OXALACETICA,160,$209
TGP,TRANSAMINASA GLUTAMINASA PIRIVICA,160,$209
TRA,TRANSFERRINA,331,$430
BCL2/IGH,TRANSLOCACION BCL-2/IgH,56768,"$73,799"
BCR/ABL,TRANSLOCACION BCR/ABL,12611,"$16,394"
ATA,TRICLOROACETICO ACIDO,2064,"$2,683"
TGL,TRIGLICERIDOS,240,$312
KPT,"TROMBOPLASTINA,TIEMPO DE",224,$292
TROPO,TROPONINA T (Tn-T),2011,"$2,614"
TSH,TSH - TIROTROFINA PLASMATICA,441,$573
CDU,"UREA, CLEARENCE DE",244,$317
UUREAL,UREAPLASMA UREALITICUM CULT.,2282,"$2,966"
URE,UREMIA,122,$158
AUR,URICO ACIDO,174,$226
AUUE,URICO ACIDO  EN ORINA OCASIONAL,174,$226
AUU2,URICO ACIDO  en orina de 2 hs.,174,$226
AUU,URICO ACIDO orina,174,$226
UROC,UROCULTIVO,574,$747
VDR,V.D.R.L. CUALITATIVA,224,$292
VDC,V.D.R.L. CUANTITATIVA,273,$354
FVTIP+,VAGINAL FLUJO C/TIP + Y ANTIBIOG.,638,$830
AVM,VAINILLIN MANDELICO ACIDO,4365,"$5,674"
VAL,VALPROICO ACIDO,685,$890
VARI G,VARICELA ANTIC.ANTI IgG IFI,2616,"$3,401"
VARI M,VARICELA ANTIC.ANTI IgM IFI,2099,"$2,729"
BK DNA,VIRUS BK DNA (PCR),13031,"$16,941"
VB1,VITAMINA B1 - TIAMINA,1824,"$2,372"
B12,VITAMINA B12,565,$734
VB6,VITAMINA B6 - PIRIDOXINA,5836,"$7,587"
VIC,VITAMINA C - ACIDO ASCORBICO,5392,"$7,010"
V25,"VITAMINA D3, 25 HIDROXI",1994,"$2,592"
ZIN,ZINC SERICO,3039,"$3,951"
